,model_name,dataset_name,random_seed,wandb_url,nll_train,nll_val,nll_test
22,RecurrentTPP,SCEDC,4,/eq-ntpp/release/runs/2cb727hk,-22.9147891998291,-13.602145195007324,-14.082676887512207
3,ETAS,White,0,/eq-ntpp/release/runs/2cqprt46,-63.17818900532275,-76.6608165202553,-89.30917194588034
33,ETAS,White,1,/eq-ntpp/release/runs/1gots3t8,-63.17836775693778,-76.66066443703123,-89.30587424916332
36,ETAS,White,2,/eq-ntpp/release/runs/22w1cq8a,-63.17832275498374,-76.6606557079979,-89.30735898290271
39,ETAS,White,3,/eq-ntpp/release/runs/3ofht6tm,-62.862973955355024,-76.19815131099031,-88.67206533611673
43,ETAS,White,4,/eq-ntpp/release/runs/2r7yc9ss,-63.17591603543056,-76.645173452422,-89.31893452998196
7,RecurrentTPP,White,0,/eq-ntpp/release/runs/3hw5cnu5,-63.3873405456543,-76.72736358642578,-89.43326568603516
11,RecurrentTPP,White,1,/eq-ntpp/release/runs/23qv0vc6,-63.63338088989258,-76.98145294189453,-89.6358871459961
15,RecurrentTPP,White,2,/eq-ntpp/release/runs/2q7bm9o1,-63.56492233276367,-76.89514923095703,-89.56681823730469
19,RecurrentTPP,White,3,/eq-ntpp/release/runs/19sp8ao1,-63.61127471923828,-76.94367980957031,-89.56281280517578
23,RecurrentTPP,White,4,/eq-ntpp/release/runs/3pjgp9v3,-63.538082122802734,-76.93562316894531,-89.59086608886719
