time,lat,lon,depth,mag
8180.868865277778,-54.6318,-30.3803,33000.0,5.8
8180.861474768518,26.2425,-110.4672,10000.0,5.2
8180.792511111112,26.3255,-110.4301,10000.0,5.0
8180.78614525463,19.1746,-64.7009,25200.0,4.6
8180.7837127314815,19.5161,-77.8466,33000.0,4.7
8180.770161805556,19.5497,-77.8345,33000.0,4.8
8180.7492997685185,10.643,-88.789,99000.0,4.7
8180.704911226852,19.6046,-77.8658,23100.0,6.3
8180.621754166666,6.8118,-77.0329,33800.0,4.6
8180.517278356482,-9.3889,118.1892,108000.0,5.0
8180.515390393519,-2.9057,138.4782,33000.0,4.6
8180.417189583332,8.2776,138.5004,33000.0,4.6
8180.417069097222,9.1638,126.8584,45800.0,4.9
8180.355283912037,13.8673,120.4505,86500.0,4.5
8180.354493518518,-11.2985,118.0902,100000.0,4.7
8180.3486406249995,32.9298,141.4588,43600.0,5.0
8180.331339120371,-36.19,176.56,33000.0,4.5
8180.258349652778,-6.0293,142.1159,47900.0,4.5
8180.214087268519,36.6721,70.9731,83800.0,4.9
8180.136059375,-32.4324,-71.9998,54100.0,4.5
8180.119094212963,-4.802,139.7138,16000.0,5.6
8180.105166203703,-4.7477,139.1225,28500.0,5.0
8180.044540162037,-17.9055,-178.4596,528800.0,5.0
8179.858868634259,2.2715,128.2412,144100.0,5.1
8179.58251550926,-0.2461,134.3144,33000.0,4.7
8179.582462731481,31.8598,142.2625,142000.0,4.8
8179.565995833333,-19.7781,-178.346,608600.0,4.7
8179.534981134259,51.8698,-176.0861,73300.0,4.9
8179.172056712963,-20.4921,-178.109,541500.0,4.7
8179.166694907408,-7.7304,106.7934,30100.0,4.8
8179.1429375,-5.7811,148.8404,174000.0,4.7
8179.055230324074,6.193,-82.524,99000.0,4.6
8179.036291319445,16.8606,120.7921,131000.0,4.7
8179.012942708333,-5.357,-14.346,10000.0,4.5
8179.008594097222,-5.6548,142.2552,33000.0,4.7
8178.979070138888,7.224,126.8604,83700.0,4.5
8178.953552314814,36.7424,30.4384,42800.0,4.6
8178.622805671296,-17.5808,167.8912,33000.0,4.6
8178.621982986112,-26.0165,-177.3448,94000.0,5.0
8178.532075231481,-8.6,123.6,419000.0,4.5
8178.52324525463,-11.4421,117.8046,150000.0,4.9
8178.454064583333,-43.4959,-15.3945,10000.0,5.1
8178.4379186342585,13.4493,-90.0265,79500.0,5.3
8178.408678472223,43.2513,147.3347,55200.0,4.8
8178.361115162037,-18.4496,-174.5874,33000.0,5.1
8178.220689467593,-6.4617,150.4421,43300.0,4.7
8178.1211791666665,-6.0668,147.8082,64900.00000000001,4.5
8178.11604826389,-20.0464,-69.0125,148800.0,4.7
8178.029126041667,-4.9588,151.7635,106400.0,4.7
8178.013886111111,-4.5569,141.8763,93200.0,5.4
8177.982065393519,-16.388,-172.3089,33000.0,5.4
8177.965782060186,30.1754,32.0133,8100.0,4.5
8177.963111805556,-24.222,177.933,634800.0,4.8
8177.9275451388885,-6.4739,147.8721,45700.0,4.8
8177.903208912037,-3.5416,144.1323,33000.0,5.7
8177.874901851852,31.1313,141.8068,33000.0,4.8
8177.772416898149,-7.2182,129.4648,112500.0,4.5
8177.727314120371,-23.9686,-179.1124,552300.0,4.9
8177.685535763889,31.2073,141.6204,56600.0,5.0
8177.6804858796295,49.3932,147.8127,569500.0,5.2
8177.609512152778,56.8647,-157.3775,77400.0,4.9
8177.58994699074,27.3693,-115.0181,10000.0,5.2
8177.545926967593,-35.329,-105.8913,10000.0,5.1
8177.527732291667,-5.3895,147.4872,33000.0,4.6
8177.44693761574,-6.1769,147.5122,57800.0,4.8
8177.437878472223,13.206,-90.357,31000.0,4.5
8177.435381944444,-7.724,126.135,272200.0,4.5
8177.344503819444,52.3567,175.5758,33000.0,5.3
8177.241336111112,30.7191,99.6301,29800.0,4.6
8177.070271875,-3.4825,102.7577,33000.0,4.7
8177.058344328704,-6.5485,126.7085,303500.0,4.5
8177.056018981481,-33.65,-71.9446,43200.0,5.3
8176.991410416666,9.9538,126.0369,69900.0,4.5
8176.959370833333,-59.2684,149.3133,15000.0,5.0
8176.937076157407,31.1948,141.8523,34800.0,5.0
8176.914075000001,11.0529,122.5335,78700.0,5.1
8176.904274652778,-20.1796,66.5788,10000.0,4.5
8176.865080902778,30.9675,141.7472,46100.0,5.2
8176.86123912037,31.0198,141.8805,19200.0,5.4
8176.825151620371,-6.325,147.416,52400.0,4.5
8176.7540885416665,-8.7553,117.6116,152700.0,5.5
8176.684689236111,-7.504,127.6107,143200.0,4.8
8176.643697569445,-6.3563,147.3027,52300.0,4.5
8176.631871643519,-5.8856,142.203,30700.0,4.6
8176.608216435185,31.3181,141.7428,36300.0,4.7
8176.603044097222,40.9983,72.5607,39700.0,5.0
8176.599858564815,-6.105,147.3881,47300.0,4.8
8176.596089930555,-6.2995,147.3173,52500.0,4.9
8176.589617824075,-6.1642,147.2974,44700.0,5.7
8176.578215625001,31.1567,141.8383,18700.0,5.2
8176.299112731482,41.1998,72.5174,33000.0,4.5
8176.296561458333,40.9802,72.2659,47100.0,4.6
8176.208303472222,41.5268,88.8076,0.0,6.5
8176.175881828704,13.3069,50.9538,10000.0,5.0
8176.144082638889,9.1412,128.2855,33000.0,4.5
8175.9836328703705,-6.3387,147.784,68800.0,4.5
8175.97961412037,-6.4359,147.8214,33000.0,4.6
8175.929282060186,7.6948,127.3011,33000.0,4.6
8175.910715625,16.3447,-96.4904,144000.0,4.5
8175.811514930555,-35.8457,178.1161,201000.0,4.7
8175.804130787037,-7.4622,130.1888,130000.0,4.6
8175.764075347222,-6.4815,147.8502,67600.0,4.9
8175.751414351852,-23.487,-179.396,559100.0,4.6
8175.5142701388895,33.3547,71.3279,16300.0,6.3
8175.4882402777785,12.6046,125.5679,22800.0,5.1
8175.472965856481,7.0211,126.833,59800.0,5.0
8175.469150347222,11.7806,125.5609,58900.0,4.7
8175.349984259259,35.2068,139.7999,102700.0,4.9
8175.176933912037,-26.3663,67.8738,10000.0,4.8
8175.122388425926,44.7244,151.107,45000.0,4.5
8175.089146875,7.3408,127.1936,19800.0,4.9
8175.084828587964,25.2761,57.7659,33000.0,4.5
8175.0595439814815,-5.4,102.9,21000.0,4.8
8175.022890046297,-34.498,-178.898,33000.0,4.9
8174.931852314814,-5.9567,149.9402,33000.0,4.6
8174.76167650463,-6.4698,130.875,33000.0,4.5
8174.733738888888,7.4325,126.8257,66400.0,4.8
8174.646329513889,-19.4652,-176.3016,282200.0,4.6
8174.61305775463,-9.4204,159.2946,15900.0,5.5
8174.538109143518,7.2947,127.4146,15000.0,4.7
8174.517356018518,28.2811,55.6009,54800.0,5.7
8174.473502777778,-33.7334,-72.6915,16000.0,4.8
8174.452927083333,43.6707,16.8389,10000.0,4.5
8174.419695717593,16.001,-98.2953,25200.0,4.8
8174.232743055555,-3.9918,142.0923,33000.0,4.6
8174.228929513889,1.1283,121.8979,549400.0,4.8
8174.2235748842595,-3.9009,143.453,33000.0,4.5
8174.215084606481,-4.3809,151.6099,15000.0,4.6
8174.08864675926,7.1619,126.9753,45500.0,4.8
